location,size,total_sqft,bath,price
Whitefield,4 Bedroom,60,4,218
1Kasavanhalli,18 Bedroom,1200,18,200
HSR Layout,2 BHK,1203,2,60
Mallasandra,2 BHK,905,2,35
Hennur Road,3 BHK,1450,3,79
Varthur,2 BHK,1105,2,38
Channasandra,2 Bedroom,1200,2,46.13
Jalahalli,3 BHK,1530,2,89
Whitefield,2 BHK,1105,2,35.4
Dasarahalli,2 BHK,1333,2,78.56
Hongasandra,2 BHK,1065,2,45
Hosur Road,,1350,,8.44
Haralur Road,2 BHK,1243,2,46
Old Madras Road,3 BHK,1530,3,76.34
Margondanahalli,2 Bedroom,1200,2,65
Whitefield,2 BHK,1270,2,94
Bellandur,3 BHK,1830,3,89
Chandapura,2 BHK,900,2,35
Attibele,4 Bedroom,2400,2,250
Varsova Layout,6 Bedroom,7000,6,560
Bannerghatta Road,3 BHK,1450,2,78
J C Nagar,3 BHK,1525,3,65
Mahalakshmi Layout,2 BHK,1080,2,67
Bagalur Main Road,2 BHK,1220,2,72
Begur Road,2 BHK,1200,2,44.4
Bommanahalli,2 BHK,1215 - 1495,2,73.17
R.T. Nagar,3 Bedroom,2400,3,348
Govindapura,2 BHK,1500,2,60
Koramangala,2 BHK,1355,2,95
Electronic City,2 BHK,1070,2,57
CV Raman Nagar,3 BHK,1980,4,180
Bommasandra,2 BHK,842,2,30
Bannerghatta Road,1 BHK,700,1,31.2
Doddakammanahalli,3 BHK,2500,4,65
"Kanakapura Road, ",3 Bedroom,1884,3,95
Dena Bank Colony,2 BHK,1100,2,75
Raja Rajeshwari Nagar,2 BHK,1196,2,40.54
Budigere,3 BHK,1820,3,85
Basavanapura,8 Bedroom,1200,8,145
Thanisandra,2 BHK,1185,2,43.5
Varthur,3 BHK,2145,3,170
Whitefield,2 BHK,1220,2,89
Whitefield,2 BHK,1116,2,51.91
6th Phase JP Nagar,2 BHK,1192,2,75
Marathahalli,3 BHK,1449,3,110
Ardendale,3 Bedroom,2500,3,250
Electronic City,3 BHK,1700,3,90
Hebbal,3 BHK,1920,3,150
BTM 4th Stage,2 Bedroom,1350,2,90
Devanahalli Int. Airport,4 Bedroom,4800,5,350
"Sarjapur Road, ",3 BHK,1700,3,74
Hoodi,2 BHK,1447,3,76
Kanakpura Road,2 BHK,1329,2,107
Sarjapur  Road,3 BHK,1314,2,70.44
Hal old airport road,3 Bedroom,1200,3,110
Basavangudi,6 Bedroom,1214,3,220
Hosa Road,3 BHK,1513,3,103
arudi,3 Bedroom,6Acres,2,80
Vittasandra,2 BHK,1246,2,67.5
Ganga Nagar,1 BHK,705,1,65
Dasarahalli,2 BHK,1220,2,62
Yelahanka New Town,3 BHK,1800,2,45
Kaval Byrasandra,3 BHK,1400,3,75
Kasavanhalli,2 BHK,1245,2,80
Anantapuram,3 BHK,1495,2,63
Nagavara,3 Bedroom,2000,2,275
Gollarapalya Hosahalli,2 BHK,996,2,36.5
Yelahanka New Town,2 BHK,1000,2,44
Chikka Banaswadi,2 BHK,1250,2,75
Chandapura,2 BHK,975,2,24.86
Thanisandra,3 BHK,1261,2,80
Electronics City Phase 1,2 BHK,1080,2,46
Akshayanagara East,2 BHK,1230,2,50
Kammasandra,2 BHK,982,2,25.53
Bommasandra,3 BHK,1260,3,49.36
HSR Layout,3 BHK,1590,2,135
Horamavu Agara,2 BHK,1220,2,39
Electronic City Phase II,3 BHK,1320,2,38.12
Green Glen Layout,3 BHK,1750,3,105
Whitefield,3 BHK,1436,2,62.15
TC Palaya,3 Bedroom,1200,2,66
Malleshwaram,2 BHK,1500,2,140
Varthur,3 BHK,1560,3,90
Whitefield,3 BHK,3758,3,300
Belatur,2 BHK,1275,2,59
Ramanjaneyanagar,2 BHK,1040,2,36.4
Bellandur,3 BHK,2400,3,115
Chamrajpet,6 Bedroom,1500,9,230
Kaggalipura,4 Bedroom,3150,5,212
Karuna Nagar,3 BHK,1960,3,165
JP Nagar,4 BHK,3200,5,309
Yeshwanthpur,2 BHK,1195,2,100
Yelahanka,2 BHK,1140 - 1250,2,53.105
Hosakerehalli,5 BHK,4500,5,145
Ulsoor,3 Bedroom,450,3,70
Sathya Sai Layout,4 Bedroom,4304,4,699
Javarandoddi,1 BHK,648,1,40
Sarjapur  Road,3 BHK,2100,3,130
Thanisandra main road,4 BHK,4209,4,602
Kudlu,2 BHK,1027,2,44
Whitefield,4 Bedroom,1575,4,250
Bommasandra,3 BHK,1365,3,52.82
Yelahanka New Town,1 BHK,650,1,18
Chandapura,3 Bedroom,1200,2,52
Cooke Town,2 BHK,1100,2,90
7th Phase JP Nagar,3 BHK,1075,2,57
Banashankari,2 BHK,1100,2,63
Akshya Nagar,3 BHK,1320,2,58
Kammasandra,3 BHK,1500,3,65
Vijaypura,4 Bedroom,1200,5,150
Bapuji Nagar,4 Bedroom,1125,3,126
Vittasandra,2 BHK,1246,2,67.5
Bhoganhalli,3 BHK,1718,3,90.2
Bisuvanahalli,3 BHK,1075,2,32
Chennammana Kere,3 BHK,1480,3,75.48
Austin Town,1 BHK,500,1,13
3rd Block Banashankari,5 Bedroom,2400,4,325
Kaikondrahalli,4 Bedroom,1200,4,125
Kanakpura Road,2 BHK,1041,2,36.44
Doddanekundi,2 BHK,1128,2,48.4
Hosur Road,3 BHK,1685,3,90
Guddadahalli,2 BHK,1180,2,65
Ejipura,2 BHK,1200,2,60
Mangammanapalya,3 BHK,1250,3,39.5
Kanakpura Road,2 BHK,900,2,41
Chelekare,2 BHK,1000,2,45
Yelahanka New Town,2 Bedroom,600,2,80
2nd Stage Nagarbhavi,4 Bedroom,600,3,82
Vittasandra,2 BHK,1404,2,70
Ramagondanahalli,3 BHK,1610,2,115
Varthur,2 BHK,1760,2,85
Amam Enclave Layout,2 BHK,975,2,55
Kashi Nagar,2 BHK,1190,2,42
Kudlu,2 BHK,1110,2,46
Rajaji Nagar,3 BHK,2415,3,399
Gunjur,2 BHK,1235,2,44.5
Nanjappa Garden,2 BHK,1275,2,55
Victoria Layout,2 BHK,1115,2,115
Harlur,2 BHK,1197,2,76
Begur Road,1 BHK,644,1,32
Bellandur,2 BHK,1251,2,47
Neeladri Nagar,2 BHK,1105,2,30
4th Phase JP Nagar,2 BHK,1080,2,38
Kudlu,4 BHK,2100,3,114
Kammanahalli,4 Bedroom,1600,4,200
NRI Layout,3 BHK,1731,3,64.11
Hormavu,2 BHK,1206,2,55
Choodasandra,3 BHK,1560,3,78
7th Phase JP Nagar,1 BHK,750,1,47
Billekahalli,2 BHK,1035,2,90
Ramamurthy Nagar,7 Bedroom,1200,6,150
Sarjapur  Road,1 BHK,702,1,35.8
Attibele,3 Bedroom,1700,3,65
HRBR Layout,2 BHK,1145,2,68.5
Ramamurthy Nagar,3 BHK,1208,2,43.5
Brookefield,3 BHK,1589,3,74
Allalasandra,2 BHK,560,2,22
Yelahanka New Town,3 BHK,1426,2,61.5
Green Glen Layout,3 BHK,1885,3,135
Old Madras Road,2 BHK,935,2,37.77
Old Madras Road,2 BHK,1171,2,73
Singasandra,2 BHK,1465,2,60
Budigere,3 BHK,1820,3,95
Raja Rajeshwari Nagar,3 BHK,1580,2,66.85
Whitefield,3 BHK,1452,2,46.29
Hennur Road,3 BHK,1445,2,89.56
Gollahalli,2 BHK,1170,2,39
Anjappa Layout,2 BHK,1070,2,50
Kanakpura Road,3 BHK,1100,3,53
Kothanur,2 BHK,1140,2,56
Rachenahalli,3 BHK,2600,3,160
Shikaripalya,3 BHK,1532,3,59.75
AGS Layout,2 BHK,1150,2,46
Jakkur,2 BHK,1473,2,85
Kathriguppe,3 BHK,1350,3,80.99
Prithvi Layout,4 BHK,4040,4,500
CV Raman Nagar,3 BHK,1980,4,166
Hoodi,3 BHK,1660,3,128
Kogilu,7 Bedroom,2456,7,85
Chamrajpet,2 BHK,650,2,45
Neeladri Nagar,5 Bedroom,4000,5,425
Malleshwaram,3 BHK,2475,4,340
Chikkakannalli,3 BHK,1495,3,90
R.T. Nagar,2 BHK,1080,2,48
Electronic City,3 BHK,1521,2,57.5
Aishwarya Crystal Layout,2 BHK,1053,2,51
Binny Pete,3 BHK,2406,5,289
Kanakpura Road,4 Bedroom,800,5,115
7th Phase JP Nagar,2 BHK,1050,2,42
Thanisandra,3 BHK,1430,2,51.48
Begur,3 BHK,2400,3,12
OLd Gurappanapalya,3 BHK,1250,3,39
Ramanagara Channapatna,4 Bedroom,1200,2,75
Ulsoor,1 Bedroom,840,1,150
Uttarahalli,2 BHK,1000,2,39.5
Bannerghatta Road,3 BHK,1630,3,68
Kammasandra,2 BHK,985,2,40.5
BTM 2nd Stage,2 BHK,1200,2,70
Ambalipura,3 BHK,1650,3,100
Mico Layout,3 BHK,1670,3,59
5th Block Hbr Layout,5 BHK,1200,5,205
Sarjapur  Road,4 Bedroom,1240,4,110
Maheswari Nagar,2 BHK,1000,2,60
Doddabanahalli,2 BHK,830,2,26
Ramagondanahalli,3 Bedroom,1200,3,56.1
Sadashiva Nagar,5 Bedroom,9600,7,2736
Begur Road,4 BHK,2400 - 2600,6,122.5
Haralur Road,2 BHK,1140,2,43
Nagarbhavi,3 BHK,1635,3,85
HSR Layout,2 BHK,1120,2,70
Kamakya Layout,6 Bedroom,2750,6,200
Sector 7 HSR Layout,3 BHK,1760,3,185
Harlur,3 BHK,2137,3,110
Hennur Road,2 BHK,973,2,50.74
Kundalahalli,3 BHK,1724,3,146
Banashankari,2 BHK,1020,2,40.79
Hsr layout sector3,4 Bedroom,1200,4,375
Electronic City,1 BHK,750,1,35
Kambipura,2 BHK,883,2,49
Thyagraj Nagar,2 Bedroom,660,2,76
Ramagondanahalli,4 BHK,2787,5,220
Devasthanagalu,3 BHK,1470,2,60
Electronics City Phase 1,2 BHK,891,2,24.95
"Sarjapur Road, ",2 BHK,1275,2,76
Kothanur,3 BHK,1787,3,120
8th Phase JP Nagar,5 Bedroom,1730,5,75
Sarjapur  Road,2 BHK,1320,2,110
Yeshwanthpur,3 BHK,1692,3,108
Bannerghatta Road,3 BHK,1400,3,69
Sarjapur  Road,2 BHK,1115,2,50
Whitefield,2 BHK,1370,2,56
Thirumenahalli,3 BHK,1602,3,56
"Hoodi Circle, ",1 BHK,793,1,40
GM Palaya,1 BHK,675,1,35
Chikka Tirupathi,4 Bedroom,3250,4,136
Whitefield,2 BHK,1050,2,43
Jalahalli East,2 BHK,1035,2,42.5
Sarjapur  Road,3 BHK,1200,2,44
Sarjapur  Road,3 BHK,1800,3,128
Green Glen Layout,3 BHK,1625,3,70
Electronics City Phase 1,2 BHK,1032,2,31.99
Whitefield,3 BHK,1496,2,71.81
Kothnoor Dinne,2 BHK,1100,2,38
Kundalahalli,3 BHK,1500,3,50
Electronic City Phase II,2 BHK,1125,2,32.63
Chikka Banaswadi,3 BHK,1555,3,73
Amruthahalli,2 BHK,1025,2,42
Hennur Road,3 BHK,1482,2,83.73
Banagirinagar,3 BHK,1630,2,130
Arekere,2 BHK,900,2,44.5
Yelahanka,3 BHK,1355,2,75
1st Block Koramangala,4 Bedroom,2360,4,601
Akshaya Nagar,2 BHK,1200,2,45
Suraksha Nagar,3 BHK,1563,3,63
Medaralli,4 Bedroom,1344,4,84
6th block Koramangala,3 BHK,3000,3,400
5th Phase JP Nagar,2 BHK,812,2,42
Basaveshwara Nagar,2 BHK,1200,2,70
Yelahanka,4 BHK,3175,4,156
Marathahalli,2 BHK,1360,2,101
Hegde Nagar,3 BHK,1835,3,88
Rachenahalli,3 BHK,1756,3,110
8th Phase JP Nagar,3 BHK,1296,2,51.83
Haralur Road,2 BHK,1300,2,75
Anandapura,2 BHK,1141,2,50
Poorna Pragna Layout,3 BHK,1270,2,50.79
Electronic City,2 BHK,1210,2,55
Hormavu,2 BHK,1310,2,67
Ejipura,5 Bedroom,1356,5,139
Magadi Road,3 BHK,1052 - 1322,2,55.195
Gubbalala,3 BHK,1745,3,140
KR Puram,5 Bedroom,1200,5,125
Raja Rajeshwari Nagar,2 BHK,1050,2,37
Banashankari,4 Bedroom,2400,4,500
Electronic City Phase II,2 BHK,1140,2,34
Varthur,2 BHK,1210,2,54
Kasavanhalli,3 BHK,2035,3,142
Sarjapur,1 BHK,633,1,17.09
Amruthahalli,1 BHK,485,1,19.5
Varthur,2 BHK,1112,2,40
Ullal Uppanagar,2 Bedroom,1200,2,82
Sarjapur  Road,3 BHK,2275,4,187
Doddanakundi Industrial Area 2,3 BHK,1419,3,85
Sri Sai Layout,2 BHK,1195,2,42.4
Versova Layout,3 Bedroom,2020,3,270
Kundalahalli,2 BHK,1047,2,91
Thanisandra,3 BHK,1884,4,117
Malleshpalya,3 Bedroom,1200,3,149
Bannerghatta Road,2 BHK,905,2,58
JP Nagar,3 BHK,1500,2,108
Chikkajala,1 BHK,850,1,50
Bommasandra Industrial Area,2 BHK,1125,2,32.49
Tindlu,2 BHK,1165,2,59.8
Maruthi Sevanagar,2 BHK,933,2,55
Hennur Road,3 BHK,1305,2,77
Billekahalli,2 BHK,1125,2,65
BSM Extension,2 BHK,865,2,33
Jigani,3 BHK,1245,3,66
Kalyan nagar,2 BHK,8840,2,300
Udayagiri,3 BHK,1145,2,60
AECS Layout,3 BHK,2000,3,90
Hosa Road,1 BHK,625,1,43.68
Kundalahalli,3 BHK,1724,3,128
Madiwala,1 Bedroom,400,1,75
Sarjapur  Road,3 BHK,1270,2,54
Madiwala,3 BHK,1250,3,39.5
Jakkur,3 BHK,1485,3,72
Shankarapuram,2 BHK,823,2,80
7th Phase JP Nagar,2 BHK,990,2,50
TC Palaya,3 Bedroom,1200,2,66
Kothanur,2 BHK,1185,2,59
Kadubeesanahalli,2 BHK,1140,2,78
Ambedkar Nagar,3 BHK,1950,4,120
Yelahanka,3 BHK,1756,3,125
Kumaraswami Layout,4 Bedroom,2600,4,300
Chandapura,1 BHK,520,1,14.04
Doddakannelli,2 BHK,1025,2,48
Whitefield,2 BHK,1216,2,72
Sarjapur  Road,2 BHK,1026,2,60.8
Sarjapur  Road,4 BHK,3335,4,300
Kodichikkanahalli,5 Bedroom,2700,4,125
Begur,3 BHK,1411,2,60
Kanakpura Road,3 BHK,1320,2,39.6
Bannerghatta,2 BHK,1320,2,50
OMBR Layout,4 Bedroom,615,4,110
Kalena Agrahara,3 BHK,1804,3,155
HSR Layout,2 BHK,1140,2,46
Banjara Layout,4 Bedroom,1200,4,105
Hebbal,4 BHK,2375,4,189
Chamundi Nagar,3 Bedroom,1750,3,120
Wilson Garden,9 Bedroom,960,5,130
TC Palaya,2 BHK,1152,2,55
Thanisandra,2 BHK,965,2,54
Lingadheeranahalli,3 BHK,1684,3,120
Hennur Road,3 BHK,1672,3,86
Panathur,2 BHK,1075,2,60
Sarjapur,3 Bedroom,1500,5,95
HOSUR MAIN ROAD,3 BHK,1464,3,56
Hebbal,2 BHK,1420,2,99.26
Nagashetty Halli,2 BHK,750,2,40
Yeshwanthpur,2 BHK,1169,2,64.08
Devanahalli,3 BHK,1290,2,62
Kengeri,2 BHK,1160,2,40.6
Shampura,7 Bedroom,2800,5,95
Mysore Road,3 BHK,1500,3,70
Domlur,3 BHK,1850,3,180
Venkatapura,3 BHK,1300,3,46
Electronic City Phase II,3 BHK,1310,2,37.84
RMV,3 BHK,2750,5,550
Bhoopsandra,3 BHK,2150,3,170
5th Block Hbr Layout,6 BHK,5100,5,300
Kanakpura Road,3 BHK,1300,2,69
Kadugodi,3 Bedroom,1875,2,110
Hulimavu,3 BHK,1260,2,82
Kengeri,5 Bedroom,2500,4,100
Begur Road,2 BHK,1241,2,64
Sarjapur  Road,2 BHK,1025,2,45.5
Postal Colony,2 Bedroom,1500,1,218
Electronic City,2 BHK,1070,2,60
Begur,2 BHK,815,2,40
Kanakpura Road,3 BHK,2000,3,105
Malleshwaram,2 BHK,1400,2,190
Varthur,4 Bedroom,1740,4,175
ITPL,4 BHK,5666 - 5669,5,300
Sarjapur  Road,2 BHK,1216,2,70
pavitra paradise,3 BHK,2200,2,190
Hegde Nagar,4 Bedroom,3500,5,450
Shampura,6 Bedroom,970,6,105
Vidyaranyapura,7 Bedroom,3150,7,375
Kanakpura Road,2 Bedroom,1200,2,62
Marathahalli,2 BHK,1026,2,50.18
Hulimavu,1 BHK,450,1,20
KR Puram,2 BHK,1205,2,45.79
Jakkur Plantation,2 BHK,1368,2,87
Anekal,1 BHK,420,1,12.5
Doddakallasandra,2 BHK,1270,2,42
Anekal,2 BHK,614,1,28
Margondanahalli,2 Bedroom,1050,2,58
Yelahanka,2 BHK,1408,2,58
Subramanyapura,3 BHK,1223,2,42.81
Reliaable Tranquil Layout,3 BHK,1507,3,80
kadubisnahalli,2 BHK,1160,2,57
Kithaganur,3 Bedroom,1200,3,70
Poorna Pragna Layout,2 BHK,960,2,50
NGR Layout,2 BHK,1021,2,46
Hegde Nagar,3 BHK,2162.03,4,129
Channasandra,2 BHK,1065,2,36
Attibele,1 BHK,400,1,10.25
Bannerghatta Road,3 BHK,1465,2,75
Kanakpura Road,2 BHK,900,2,41
Marathahalli,3 BHK,1800,3,95
Amblipura,2 BHK,1175,2,83
Lavelle Road,3 BHK,6729,4,900
Vijayanagar,4 Bedroom,1500,4,360
Sanjay nagar,2 BHK,1050,2,59
Electronic City Phase II,3 BHK,1400,2,40.43
Indira Nagar,3 BHK,1650,3,150
KR Puram,3 BHK,1827,3,97
Thanisandra,3 BHK,1930,4,122
Mysore Road,2 BHK,883,2,37
Kengeri,1 BHK,550,1,16.75
Electronic City,3 BHK,1400,2,40.44
RMV 2nd Stage,4 Bedroom,1350,4,310
Kanakapura,3 BHK,1290,2,38.69
Raja Rajeshwari Nagar,3 BHK,1021,3,59
Whitefield,2 BHK,1158,2,55
Varanasi,5 Bedroom,1200,4,99
Nagarbhavi,3 BHK,1400,2,135
Doddaballapur,4 Bedroom,2400,3,200
Munnekollal,3 BHK,1200,2,57.9
JP Nagar,3 BHK,1520,3,125
Thanisandra,1 BHK,620 - 934,1,38.46
EPIP Zone,3 BHK,2710,3,177
Kenchenahalli,2 BHK,1150,2,57
Yelahanka,2 BHK,1101,2,37
Mahalakshmi Layout,3 BHK,1200,2,110
Hebbal,2 BHK,1252,2,92
Marathahalli,3 BHK,1650,3,85
Marathahalli,2 BHK,1270,2,80
Tumkur Road,2 BHK,992,2,70
BEML Layout,3 BHK,2000,3,85
Geddalahalli,2 BHK,893,2,34.5
Bisuvanahalli,3 BHK,1075,2,41.49
Kumaraswami Layout,7 Bedroom,3200,7,150
Electronic City,2 BHK,1190,2,42
Ashwathnagar,3 Bedroom,800,2,60
Sarjapur  Road,3 BHK,1814,3,63
Rahmath Nagar,3 BHK,1400,3,98
Bommasandra,5 Bedroom,1400,6,252
Murugeshpalya,3 BHK,1344,2,56
Whitefield,4 Bedroom,5400,5,475
Kanakpura Road,3 BHK,1843,3,95
Chikkadunnasandra,2 BHK,1138,2,32
Nagappa Reddy Layout,3 BHK,1495,2,70
Electronic City,2 BHK,880,2,19
Whitefield,3 BHK,1396,3,74
Garudachar Palya,3 BHK,1610,2,119
Tindlu,2 BHK,1050,2,55
Kumbena Agrahara,3 BHK,1410,2,43.71
Ramamurthy Nagar,2 BHK,1050,2,37.8
Kumaraswami Layout,3 BHK,1310,2,85
Yelahanka,2 BHK,1104,2,58
Hennur Road,2 BHK,1165,2,67
Kudlu,2 BHK,1027,2,44
Hormavu,2 BHK,1310,2,60
Chikkanahalli,2 BHK,1052,2,52
Singasandra,3 BHK,1464,3,56
1st Block Koramangala,2 BHK,1000,2,45
Jayanagar,3 BHK,2240,3,300
Electronic City,2 BHK,1150,2,38.08
Thanisandra,3 BHK,2019,3,70.67
Varthur,2 BHK,986,2,31
Banashankari Stage III,1 Bedroom,1350,1,145
9th Phase JP Nagar,8 BHK,800,8,140
Akshaya Nagar,3 BHK,1893,4,95
Gollarapalya Hosahalli,3 BHK,1318,3,56
Yelahanka,3 BHK,1325,2,58
Kereguddadahalli,2 BHK,800,2,33
Canara Bank Colony,3 BHK,1300,3,42.25
Dodda Banaswadi,3 BHK,1300,2,60
Jalahalli East,2 BHK,1010,2,52
Banashankari,2 BHK,1260,2,75
Ulsoor,4 Bedroom,2500,4,170
Halanayakanahalli,3 Bedroom,1520,3,165
Bellandur,3 BHK,1665,3,85
Subramanyapura,3 BHK,1800,3,80
Harlur,2 BHK,1197,2,75
Manayata Tech Park,2 BHK,1050,2,45
Manjunath Nagar,5 Bedroom,910,4,194
Thanisandra,3 BHK,1241,2,68
Maithri Layout,3 BHK,1567,2,62
Kasavanhalli,3 BHK,1747,3,110
Ramagondanahalli,3 BHK,1475,2,55
Park View Layout,4 Bedroom,600,4,70
Xavier Layout,3 Bedroom,1524,4,400
Hennur Road,2 BHK,980,2,51
Dasanapura,2 BHK,966,2,58
Ferrar Nagar,4 BHK,2360,3,185
Sarjapur  Road,2 BHK,1112,2,62
Electronic City,2 BHK,550,1,16
Surabhi Layout,3 BHK,1760,3,90
Hennur,3 BHK,1830,2,113
Yelahanka,2 BHK,1175,2,67.77
Whitefield,2 BHK,1175,2,41
Horamavu Banaswadi,2 BHK,1025,2,45
Hennur Road,2 BHK,1232,2,80
5th Phase JP Nagar,2 BHK,1010,2,57
Sarjapur  Road,2 BHK,1273,2,60
Battarahalli,2 BHK,1590,2,102
Air View Colony,2 BHK,1100,2,58.5
Electronic City Phase II,3 BHK,1252,2,65
1st Phase JP Nagar,4 BHK,2615,5,222
Arishinakunte,5 Bedroom,1200,6,140
Yelahanka,2 BHK,1322,2,77.9
7th Phase JP Nagar,1 Bedroom,1000,1,60
Harlur,3 BHK,1755,3,117
Electronic City Phase II,2 BHK,1135,2,46
Rajaji Nagar,8 Bedroom,1200,10,180
Electronic City,4 Bedroom,1200,4,125
Nagavarapalya,2 BHK,1260,2,85.5
Hoodi,5 Bedroom,3250,5,395
Ambedkar Nagar,4 Bedroom,3500,4,550
Manjunath Nagar,5 Bedroom,1200,6,110
Kanakpura Road,3 BHK,1100,2,53
Electronic City Phase II,3 BHK,1305,3,65
Ayappa Nagar,2 BHK,1236,2,50
Uttarahalli,2 BHK,1125,1,45
KR Puram,2 BHK,1075,2,32.25
BEML Layout,3 BHK,2000,3,85
Kadugondanahalli,8 Bedroom,772,5,60
Thanisandra,6 Bedroom,2999.97,6,110
Kadugodi,2 BHK,1150,2,42
9th Block Jayanagar,4 Bedroom,1440,4,240
Hennur Road,2 BHK,1085,2,43.4
Hebbal Kempapura,3 BHK,1785,3,165
Malleshwaram,3 BHK,2475,4,300
Thanisandra,3 BHK,1930,4,120
4th Phase JP Nagar,2 BHK,600,4,70
Kadugondanahalli,2 Bedroom,800,1,45
Kumaraswami Layout,4 BHK,2450,3,110
akshaya nagar t c palya,4 Bedroom,1200,4,120
Bannerghatta Road,3 BHK,1920,3,122
Kothannur,2 BHK,1085,2,34.2
Thanisandra,1 BHK,760,1,50.4
Sahakara Nagar,2 BHK,1201,2,80
Electronic City,3 BHK,1615,3,97
HSR Layout,2 BHK,1289,2,70
Budigere,3 BHK,1991,4,100
Kasavanhalli,2 BHK,1377,2,80
Cunningham Road,3 BHK,2880,3,560
Laxmi Sagar Layout,3 Bedroom,1892,3,200
Shivaji Nagar,3 BHK,2176,3,348
Thanisandra,1 BHK,663,1,32.82
Electronic City,2 BHK,1165,2,33.65
Talaghattapura,3 BHK,3554,4,340
Thanisandra,2 BHK,1260,2,45.5
Volagerekallahalli,2 BHK,1095,2,39
KR Garden,2 BHK,1050,2,65
Seegehalli,2 BHK,1176,2,50
Thanisandra,3 BHK,1801,3,115
Whitefield,2 BHK,1315,2,55
Parappana Agrahara,2 BHK,1194,2,46
NRI Layout,2 Bedroom,2400,2,125
Uttarahalli,3 BHK,1308,2,53
Sarjapur  Road,4 Bedroom,4250,4,610
Thanisandra,3 BHK,1806,6,116
Thanisandra,4 Bedroom,3671,4,220
Hoodi,3 BHK,2144,3,140
Hoskote,2 BHK,1065,2,33.75
Balagere,2 BHK,1205,2,67
Uttarahalli,2 BHK,1160,2,40.58
Kanaka Nagar,4 Bedroom,750,4,90
Parappana Agrahara,2 BHK,1194,2,47
mvj engineering college,3 Bedroom,1200,3,56.53
2nd Phase Judicial Layout,3 BHK,1681,3,69
Bommasandra Industrial Area,2 BHK,1130,2,32.64
Iblur Village,4 BHK,3633,5,335
Kanakpura Road,3 BHK,1843,3,90
Bommasandra Industrial Area,2 BHK,1065,2,30.75
Thubarahalli,3 BHK,1885,3,85.52
R.T. Nagar,2 BHK,1500,2,45
Panathur,2 BHK,1210,2,69
TC Palaya,2 BHK,1126,2,39.4
Rayasandra,3 BHK,1357,2,59
Whitefield,3 BHK,1451,2,46.4
Kodigehaali,4 Bedroom,1600,3,185
Hennur Road,2 BHK,950,2,55
Bellandur,2 BHK,960,2,48
2nd Block Bel Layout,3 BHK,1625,3,92
Kaggalipura,3 Bedroom,2200,4,150
Ambalipura,3 BHK,1607,2,112
Kanakpura Road,2 BHK,900,2,46.29
Shree Ananth Nagar Layout,2 BHK,1080,2,38
Cooke Town,3 BHK,2300,3,250
Hosa Road,4 BHK,1708,3,64.05
Yeshwanthpur,6 Bedroom,2500,5,185
Bellandur,3 BHK,1690,2,116
RR Layout,5 Bedroom,2100,3,145
4th Block Koramangala,2 BHK,1269,2,97
Haralur Road,2 BHK,1243,2,46
Haralur Road,3 BHK,1890,3,84
Electronic City Phase II,2 BHK,1165,2,33.64
BTM Layout,2 BHK,1196,2,56.81
Parappana Agrahara,2 BHK,1194,2,47
Old Madras Road,3 BHK,1630,3,110
Whitefield,2 BHK,1063,2,42.52
Shikaripalya,2 BHK,1025,2,39.98
Chikkabanavar,2 BHK,1067,2,38
Kanakpura Road,2 BHK,1299,2,89.63
Panathur,2 BHK,1343,2,76
Electronics City Phase 1,3 BHK,1330,2,44
Mallasandra,3 BHK,1524,2,72
Lingadheeranahalli,4 BHK,2236,4,153
Domlur,3 BHK,2955,3,235
Raja Rajashweri Nagar,3 BHK,1410,2,45.12
Kothanur,3 BHK,1581,3,76
Balagere,2 BHK,1205,2,79
Thyagaraja Nagar,3 BHK,1270,2,95.25
VHBCS Layout,3 BHK,1353,2,110
Jinkethimmanahalli,2 Bedroom,1200,2,68
basaveshwarnagar,3 BHK,1250,2,70
Gopalapura,3 BHK,1950.2,3,261
Sarjapur  Road,3 BHK,1157,2,69
Kanakapura,1 BHK,712 - 938,1,35.475
Sarjapur  Road,2 BHK,1000,2,40
Yelahanka,1 BHK,602,1,33
Malleshwaram,5 Bedroom,3000,4,900
Hoodi,2 BHK,1108,2,66.46
Thyagaraja Nagar,2 BHK,1040,2,68
Sarjapur,2 BHK,1451,2,87
Raja Rajeshwari Nagar,2 BHK,1196,2,40.54
Kanakpura Road,1 BHK,850,1,37.32
Gopalapura,3 BHK,2171.66,3,298
Kanaka Nagar,2 BHK,900,2,40
Kudlu,1 BHK,720,1,33
Thanisandra,3 BHK,1573,3,115
Sarjapur  Road,2 BHK,1026,2,60.8
CV Raman Nagar,3 BHK,1400,2,78
Electronic City Phase II,3 BHK,1400,2,40.44
Banashankari Stage III,4 Bedroom,2100,3,147
Sarjapur  Road,2 BHK,1150,2,48.5
Raja Rajeshwari Nagar,3 BHK,1500,3,88
Malleshwaram,3 BHK,2400,3,380
HRBR Layout,3 Bedroom,1200,3,240
Kothanur,3 BHK,1790,3,105
Ramagondanahalli,2 BHK,1125,2,75
Hennur,3 BHK,1783 - 1878,3,84.205
Marathahalli,2 BHK,1100,2,50
7th Phase JP Nagar,2 BHK,120Sq. Yards,2,51
Banaswadi,2 BHK,1105,2,57
Thanisandra,2 BHK,1110,2,46.5
Dasanapura,1 BHK,708,1,41
Kudlu,2 BHK,1027,2,44
"Banashankari 3rd stage, Vivekanandanagar",3 BHK,1600,3,100
Thigalarapalya,4 BHK,3122,6,250
